danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Song
0.705,0.741,4,-4.33,0,0.0683,0.167,0.0,0.216,0.615,94.962,audio_features,3oVQxpBRhN3uPVCbfl8U2g,spotify:track:3oVQxpBRhN3uPVCbfl8U2g,https://api.spotify.com/v1/tracks/3oVQxpBRhN3uPVCbfl8U2g,https://api.spotify.com/v1/audio-analysis/3oVQxpBRhN3uPVCbfl8U2g,153373,4,"Ed Sheeran
",2step (feat. Ellinoora)
0.734,0.68,4,-5.096,0,0.058,0.179,0.0,0.169,0.499,95.06,audio_features,5Tfcq7Rr4ZkHBvXoiTw9sR,spotify:track:5Tfcq7Rr4ZkHBvXoiTw9sR,https://api.spotify.com/v1/tracks/5Tfcq7Rr4ZkHBvXoiTw9sR,https://api.spotify.com/v1/audio-analysis/5Tfcq7Rr4ZkHBvXoiTw9sR,153334,4,"Ed Sheeran
",2step (feat. reezy)
0.506,0.695,4,-5.185,0,0.105,0.235,0.0,0.151,0.599,93.75,audio_features,2gnZazKNU1zj2KKIqmaYrP,spotify:track:2gnZazKNU1zj2KKIqmaYrP,https://api.spotify.com/v1/tracks/2gnZazKNU1zj2KKIqmaYrP,https://api.spotify.com/v1/audio-analysis/2gnZazKNU1zj2KKIqmaYrP,153213,4,"Ed Sheeran
",2step (feat. Antytila)
0.726,0.671,4,-5.402,0,0.161,0.14,0.0,0.139,0.552,95.053,audio_features,7oApry96vhs6TjpEY2Hf6g,spotify:track:7oApry96vhs6TjpEY2Hf6g,https://api.spotify.com/v1/tracks/7oApry96vhs6TjpEY2Hf6g,https://api.spotify.com/v1/audio-analysis/7oApry96vhs6TjpEY2Hf6g,153447,4,"Ed Sheeran
",2step (feat. Potter Payper)
0.731,0.642,4,-5.106,0,0.0695,0.209,0.0,0.242,0.504,94.961,audio_features,5LUL1ZQ0MbYwt6sV2r4dBk,spotify:track:5LUL1ZQ0MbYwt6sV2r4dBk,https://api.spotify.com/v1/tracks/5LUL1ZQ0MbYwt6sV2r4dBk,https://api.spotify.com/v1/audio-analysis/5LUL1ZQ0MbYwt6sV2r4dBk,164560,4,"Ed Sheeran
",2step (feat. Chefin)
0.727,0.621,4,-4.784,0,0.0555,0.212,0.0,0.114,0.565,94.958,audio_features,29a9JPQiJARl60zoUKlA93,spotify:track:29a9JPQiJARl60zoUKlA93,https://api.spotify.com/v1/tracks/29a9JPQiJARl60zoUKlA93,https://api.spotify.com/v1/audio-analysis/29a9JPQiJARl60zoUKlA93,153427,4,"Ed Sheeran
",2step (feat. Budjerah)
0.72,0.709,4,-5.308,0,0.0827,0.171,0.0,0.141,0.537,94.99,audio_features,2Rz9WzETsiYypy7IGm93Sa,spotify:track:2Rz9WzETsiYypy7IGm93Sa,https://api.spotify.com/v1/tracks/2Rz9WzETsiYypy7IGm93Sa,https://api.spotify.com/v1/audio-analysis/2Rz9WzETsiYypy7IGm93Sa,153254,4,"Ed Sheeran
",2step (feat. Quevedo)
0.674,0.663,7,-5.084,1,0.084,0.157,0.0,0.13,0.617,94.818,audio_features,7hJ6c9IrZv2h4YBSj4rNU2,spotify:track:7hJ6c9IrZv2h4YBSj4rNU2,https://api.spotify.com/v1/tracks/7hJ6c9IrZv2h4YBSj4rNU2,https://api.spotify.com/v1/audio-analysis/7hJ6c9IrZv2h4YBSj4rNU2,153227,4,"Ed Sheeran
",2step (feat. 1.Cuz)
0.728,0.69,7,-4.788,1,0.084,0.21,0.0,0.113,0.492,94.986,audio_features,5h3JeNvHOzvUU60Zmz60od,spotify:track:5h3JeNvHOzvUU60Zmz60od,https://api.spotify.com/v1/tracks/5h3JeNvHOzvUU60Zmz60od,https://api.spotify.com/v1/audio-analysis/5h3JeNvHOzvUU60Zmz60od,153227,4,"Ed Sheeran
",2step (feat. Denise Chaila)
0.669,0.916,7,-4.961,1,0.038,0.254,0.00117,0.356,0.54,129.956,audio_features,1eYoE3toB7ddWII8HnY1i1,spotify:track:1eYoE3toB7ddWII8HnY1i1,https://api.spotify.com/v1/tracks/1eYoE3toB7ddWII8HnY1i1,https://api.spotify.com/v1/audio-analysis/1eYoE3toB7ddWII8HnY1i1,205187,4,"Ed Sheeran
",2step (Star.One Remix)
0.747,0.667,4,-5.181,0,0.0566,0.18,0.0,0.146,0.508,95.0,audio_features,3Gxo1itE2q8dTrhX7atqCE,spotify:track:3Gxo1itE2q8dTrhX7atqCE,https://api.spotify.com/v1/tracks/3Gxo1itE2q8dTrhX7atqCE,https://api.spotify.com/v1/audio-analysis/3Gxo1itE2q8dTrhX7atqCE,153124,4,"Ed Sheeran
",2step (feat. Armaan Malik)
0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,audio_features,70eFcWOvlMObDhURTqT4Fv,spotify:track:70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/tracks/70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/audio-analysis/70eFcWOvlMObDhURTqT4Fv,197867,4,"Ed Sheeran
",Beautiful People (feat. Khalid)
